blastoBioLep01,blastoBioLep01 BioLep1040,species
Diachrysia,Diachrysia stenochrysis,species
Orcaella,Orcaella brevirostris,species
Gekkonidae,Gekko,genus
Anelosimus,Anelosimus huxleyi,species
Periclina,Periclina syctariaDHJ02,species
Erinnyis,Erinnyis oenotrus,species
Tasimia,Tasimia palpata,species
Peronia,Peronia verruculata,species
Darapsa,Darapsa choerilus,species
Megaselia,Megaselia brevicostalis,species
Onuphidae,Hyalinoecia,genus
Corydalidae,Protohermes,genus
Blenniidae,Ophioblennius,genus
Pseudococcidae,Planococcus,genus
Saturniidae,Eacles,genus
Tachinidae,Carcelia,genus
Oligoryzomys,Oligoryzomys fulvescens,species
Geometridae,Nemoria,genus
Pycnacantha,Pycnacantha tribulus,species
Dubiraphia,Dubiraphia vittata,species
Diptera,Bibionidae,family
Noctuidae,Xylena,genus
Spheginobaccha,Spheginobaccha melancholia,species
Anablepsoides,Anablepsoides hartii,species
Ostreidae,Saccostrea,genus
Trachipteridae,Trachipterus,genus
Chelonibia,Chelonibia testudinaria,species
Polynoidae,Thormora,genus
Bionectriaceae,Clonostachys,genus
Tortyra,Tortyra malacozona,species
Nepticulidae,Parafomoria,genus
Terataner,Terataner alluaudi,species
Epeolus,Epeolus deyrupi,species
Allorhogas,Allorhogas Malaise5387,species
Sphingognatha,Sphingognatha pallida,species
Acrodactyla,Acrodactyla sp.,species
Lespesia,Lespesia parviteresDHJ06,species
Hylesia,Hylesia teratex,species
Eupselia,Eupselia sp. ANICMK46,species
Delisea,Delisea pulchra,species
Ichneumonidae,Lymeon,genus
Apanteles,Apanteles federicomatarritai,species
Crambidae,Scoparia,genus
Lasiomma,Lasiomma atricaudum,species
Nemipteridae,Pentapodus,genus
Catharosia,Catharosia Malaise4051,species
Deuterogonia,Deuterogonia pudorina,species
Neolygus,Neolygus caryae,species
Acanthasteridae,Acanthaster,genus
Acraga,Acraga philetera,species
Decapoda,Oregoniidae,family
Callinina,Callinina georgiana,species
Ligia,Ligia exotica,species
Pseudoscorpiones,Olpiidae,family
Fabriciidae,Manayunkia,genus
Anaulosia,Anaulosia BioLep50,species
Gymnophallidae,Gymnophallus,genus
Morulina,Morulina mackenziana,species
Bembecia,Bembecia ceiformis,species
Silvanidae,Psammoecus,genus
Boloria,Boloria generator,species
Tomocerus,Tomocerus,species
Crematogaster,Crematogaster scutellaris,species
Ephemeridae,Ephemera,genus
Scambus,Scambus calobatus,species
Stylommatophora,Cerastidae,family
Telegonus,Telegonus favilla,species
Longitarsus,Longitarsus lateripunctatus,species
Andrena,Andrena nitida,species
Hipparchia,Hipparchia statilinus,species
Ploceidae,Ploceus,genus
Pseudodineura,Pseudodineura fuscula,species
Empria,Empria immersa,species
Opisthoxia,Opisthoxia asopisDHJ01,species
Chlorestes,Chlorestes cyanus,species
Gelechiidae,Ivanauskiella,genus
Chromadorea,Plectida,order
Glaucolepis,Glaucolepis melanoptera,species
